Group,type,noun,gender,case,sentence,question,answer_correct,answer_wrong
A,nom_fem_u,какаду,f,nom,"Высоко на ветке сидит какаду, сверкающая своим ярким оперением.",Кто сидит на ветке?,какаду,павлин
B,nom_masc_or_neut_u,какаду,m,nom,"Высоко на ветке сидит какаду, сверкающий своим ярким оперением.",Кто сидит на ветке?,какаду,павлин
C,acc_fem,какаду,f,acc,"На ветке мы увидели какаду, сверкающую своим ярким оперением.",Кто был на ветке?,какаду,павлин
D,acc_masc_or_neut,какаду,n,acc,"На ветке мы увидели какаду, сверкающего своим ярким оперением.",Кто был на ветке?,какаду,павлин
A,nom_masc_or_neut_u,хокку,n,nom,"В журнале редко появляется хокку, изумляющее критиков строгостью ритма.",Кого изумляет хокку?,критиков,учителей
B,acc_fem,хокку,f,acc,"Сегодня лучший ученик рассказал хокку, изумляющую критиков строгостью ритма.",Кого изумляет хокку?,критиков,учителей
C,acc_masc_or_neut,хокку,n,acc,"Сегодня лучший ученик рассказал хокку, изумляющее критиков строгостью ритма.",Кого изумляет хокку?,критиков,учителей
D,nom_fem_u,хокку,n,nom,"В журнале редко появляется хокку, изумляющая критиков строгостью ритма.",Кого изумляет хокку?,критиков,учителей
A,acc_fem,табу,f,acc,"Вожди большого племени установили табу, запрещающую красть продукты соседей.",Что запрещается красть?,продукты,инструменты
B,acc_masc_or_neut,табу,n,acc,"Вожди большого племени установили табу, запрещающее красть продукты соседей.",Что запрещается красть?,продукты,инструменты
C,nom_fem_u,табу,f,nom,"В племенном обществе существует табу, запрещающая красть продукты соседей.",Что запрещается красть?,продукты,инструменты
D,nom_masc_or_neut_u,табу,n,nom,"В племенном обществе существует табу, запрещающее красть продукты соседей.",Что запрещается красть?,продукты,инструменты
A,acc_masc_or_neut,кешью,m,acc,"Вьетнамские фермеры аккуратно срывают кешью, зреющий среди густой зелени.",Кто срывает кешью?,фермеры,туристы
B,nom_fem_u,кешью,f,nom,"Всех островных птиц привлекает кешью, зреющая среди густой зелени.",Кого привлекают кешью?,птиц,крыс
C,nom_masc_or_neut_u,кешью,m,nom,"Всех островных птиц привлекает кешью, зреющий среди густой зелени.",Кого привлекают кешью?,птиц,крыс
D,acc_fem,кешью,f,acc,"Вьетнамские фермеры аккуратно срывают кешью, зреющую среди густой зелени.",Кто срывает кешью?,фермеры,туристы
A,nom_fem_u,тофу,f,nom,"В ресторане вегетарианцев привлекает тофу, лежащая поверх белого риса.",,,
B,nom_masc_or_neut_u,тофу,m,nom,"В ресторане вегетарианцев привлекает тофу, лежащий поверх белого риса.",,,
C,acc_fem,тофу,f,acc,"Повар азиатского ресторана разрезает тофу, лежащую поверх белого риса.",,,
D,acc_masc_or_neut,тофу,m,acc,"Повар азиатского ресторана разрезает тофу, лежащий поверх белого риса.",,,
A,nom_masc_or_neut_u,паспарту,n,nom,"Для этой гравюры используется паспарту, закрывающее неровные края работы.",,,
B,acc_fem,паспарту,f,acc,"В салоне нам предложили паспарту, закрывающую неровные края работы.",,,
C,acc_masc_or_neut,паспарту,n,acc,"В салоне нам предложили паспарту, закрывающее неровные края работы.",,,
D,nom_fem_u,паспарту,f,nom,"Для этой гравюры используется паспарту, закрывающая неровные края работы.",,,
A,acc_fem,эму,f,acc,"Браконьер метким выстрелом ранил эму, топчущую посевы местных фермеров.",,,
B,acc_masc_or_neut,эму,m,acc,"Браконьер метким выстрелом ранил эму, топчущую посевы местных фермеров.",,,
C,nom_fem_u,эму,f,nom,"Серьезный ущерб хозяйству наносит эму, топчущая посевы местных фермеров.",,,
D,nom_masc_or_neut_u,эму,m,nom,"Серьезный ущерб хозяйству наносит эму, топчущий посевы местных фермеров.",,,
A,acc_masc_or_neut,рандеву,n,acc,"Мой молодой человек отменил рандеву, назначенное больше месяца назад.",,,
B,nom_fem_u,рандеву,f,nom,"Завтра у меня состоится рандеву, назначенная больше месяца назад.",,,
